model_name,architecture,gpu,gpu_allocate,epochs,batches,train_batch_size,valid_batch_size,train_worker,validate_worker,train_percentage,valid_percentage,loss_function,optimizer,scheduler,train_time,test_time,auc_mean_on_test,Note
20180420-092017,densenet121,1.0,5147M,300.0,500.0,32.0,64.0,4.0,8.0,1.0,1.0,BCELoss,"Adam(lr=0.001, betas=(0.9, 0.999))",ReduceLROnPlateau,574% cpu 11:51:06.46 total,309% cpu 7:03.35 total,0.815,"Loss just flickering up and down, no improvement, but auc increase over time"
test-model,densenet121,,,,,,,,,,,,,,,,,
test-model,densenet121,,,,,,,,,,,,,,,,,
